uuid,displayname,displayIcon,contentTierUuid,language
89be9866-4807-6235-2a95-499cd23828df,ألتيتود أودين,https://media.valorant-api.com/weaponskins/89be9866-4807-6235-2a95-499cd23828df/displayicon.png,0cebb8be-46d7-c12a-d306-e9907bfc5a25,ar-AE
94c085e6-48e1-c879-2552-88bf7850c5a8,زينو هنتر أودين,https://media.valorant-api.com/weaponskins/94c085e6-48e1-c879-2552-88bf7850c5a8/displayicon.png,60bca009-4182-7998-dee7-b8a2558dc369,ar-AE
e02d6b2c-4e2e-a5f1-6bb8-38ac74485d7e,اللعب التكتيكي أودين,https://media.valorant-api.com/weaponskins/e02d6b2c-4e2e-a5f1-6bb8-38ac74485d7e/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
abef8114-4495-6da7-2ade-02bd0f014fd3,حجر الرون أودين,https://media.valorant-api.com/weaponskins/abef8114-4495-6da7-2ade-02bd0f014fd3/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
97af88e4-4176-9fa3-4a26-57919443dab7,غليتش بوب أودين,https://media.valorant-api.com/weaponskins/97af88e4-4176-9fa3-4a26-57919443dab7/displayicon.png,e046854e-406c-37f4-6607-19a9ba8426fc,ar-AE
2715f184-46cc-bec1-dd7c-e7b4d1aeb625,نايترو أودين,,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
85c76090-4de5-3a3a-a763-f4a7b779e8ed,توبوتيك أودين,https://media.valorant-api.com/weaponskins/85c76090-4de5-3a3a-a763-f4a7b779e8ed/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
cda41b87-4d3a-c17c-5f6d-8990cc9c5efb,دوت إي إكس إي أودين,https://media.valorant-api.com/weaponskins/cda41b87-4d3a-c17c-5f6d-8990cc9c5efb/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
bd647d56-4542-19cd-e1ed-4fb429c78cf9,الحدود الجديدة أودين,https://media.valorant-api.com/weaponskins/bd647d56-4542-19cd-e1ed-4fb429c78cf9/displayicon.png,e046854e-406c-37f4-6607-19a9ba8426fc,ar-AE
157bcebe-484d-82e2-2a60-c8b4b11197ea,برايم\\2.0 أودين,https://media.valorant-api.com/weaponskins/157bcebe-484d-82e2-2a60-c8b4b11197ea/displayicon.png,60bca009-4182-7998-dee7-b8a2558dc369,ar-AE
72e724e9-4ba4-2d12-ce1a-8db1a528b9d3,بريزم III أودين,https://media.valorant-api.com/weaponskins/72e724e9-4ba4-2d12-ce1a-8db1a528b9d3/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
9e648b20-4ed5-1f34-87a9-979cbe9a958a,العقاب أودين,https://media.valorant-api.com/weaponskins/9e648b20-4ed5-1f34-87a9-979cbe9a958a/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
5c13101a-45e4-d568-aade-d6b0dadedcd1,التحالف: كوبرا أودين,https://media.valorant-api.com/weaponskins/5c13101a-45e4-d568-aade-d6b0dadedcd1/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
57523cf0-4574-968b-9f17-168e3bdb6d0d,الموجة الضوئية أودين,https://media.valorant-api.com/weaponskins/57523cf0-4574-968b-9f17-168e3bdb6d0d/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
65baa0cd-42ec-f99d-54a0-338d795b5824,صخب الألوان أودين,https://media.valorant-api.com/weaponskins/65baa0cd-42ec-f99d-54a0-338d795b5824/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
9c134f41-4c29-1bd8-682e-178e7f349c9b,مظهر مفضل عشوائي,https://media.valorant-api.com/weaponskins/9c134f41-4c29-1bd8-682e-178e7f349c9b/displayicon.png,,ar-AE
3bb7e1cd-4774-3b84-ab13-3fa8ca182f20,أوريون أودين,https://media.valorant-api.com/weaponskins/3bb7e1cd-4774-3b84-ab13-3fa8ca182f20/displayicon.png,0cebb8be-46d7-c12a-d306-e9907bfc5a25,ar-AE
67fb338a-4b21-ed70-7c2a-46bef4742b4f,حراس النور أودين,https://media.valorant-api.com/weaponskins/67fb338a-4b21-ed70-7c2a-46bef4742b4f/displayicon.png,e046854e-406c-37f4-6607-19a9ba8426fc,ar-AE
02cce94a-4dc2-d11a-33cf-d8aba4e36202,سكيما أودين,https://media.valorant-api.com/weaponskins/02cce94a-4dc2-d11a-33cf-d8aba4e36202/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
468fdc95-443f-f1c2-bd22-fc8e1af0de39,لعنة اللايكن أودين,https://media.valorant-api.com/weaponskins/468fdc95-443f-f1c2-bd22-fc8e1af0de39/displayicon.png,0cebb8be-46d7-c12a-d306-e9907bfc5a25,ar-AE
8dda01a6-4237-f430-ac70-c3ba677963e9,ريفر أودين,https://media.valorant-api.com/weaponskins/8dda01a6-4237-f430-ac70-c3ba677963e9/displayicon.png,60bca009-4182-7998-dee7-b8a2558dc369,ar-AE
f454efd1-49cb-372f-7096-d394df615308,أودين قياسي,https://media.valorant-api.com/weaponskins/f454efd1-49cb-372f-7096-d394df615308/displayicon.png,,ar-AE
14796249-4f23-9d52-4ea1-d8878099c01e,الطاقة المتفجرة أودين,https://media.valorant-api.com/weaponskins/14796249-4f23-9d52-4ea1-d8878099c01e/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
befa2f32-410f-a418-d8d3-b194dcf2ec6d,إيروسول أودين,https://media.valorant-api.com/weaponskins/befa2f32-410f-a418-d8d3-b194dcf2ec6d/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
14f9d94a-4add-10a9-588d-48a7111da96f,يد البخت أودين,https://media.valorant-api.com/weaponskins/14f9d94a-4add-10a9-588d-48a7111da96f/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
85ed3f9d-4e59-a709-8faf-bc86effb3a07,بلاست إكس أودين,https://media.valorant-api.com/weaponskins/85ed3f9d-4e59-a709-8faf-bc86effb3a07/displayicon.png,e046854e-406c-37f4-6607-19a9ba8426fc,ar-AE
e9fce399-4abc-bb3c-8992-f887918ce327,‎الجزء 2 آريز VALORANT GO!,https://media.valorant-api.com/weaponskins/e9fce399-4abc-bb3c-8992-f887918ce327/displayicon.png,60bca009-4182-7998-dee7-b8a2558dc369,ar-AE
8b9855f2-4cc6-0c44-3e7c-d0b2a32c6950,أريستوكرات آريز,https://media.valorant-api.com/weaponskins/8b9855f2-4cc6-0c44-3e7c-d0b2a32c6950/displayicon.png,0cebb8be-46d7-c12a-d306-e9907bfc5a25,ar-AE
1e5ee5bf-43d5-28ee-b2f7-96a53b783dc2,انتقام غايا آريز,https://media.valorant-api.com/weaponskins/1e5ee5bf-43d5-28ee-b2f7-96a53b783dc2/displayicon.png,60bca009-4182-7998-dee7-b8a2558dc369,ar-AE
bb004222-4ecd-e109-e875-069c820548fa,الاستكشاف آريز,https://media.valorant-api.com/weaponskins/bb004222-4ecd-e109-e875-069c820548fa/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
ac65b631-4bd1-b0fa-3313-0da74d4eba9d,نبيولا أريز,https://media.valorant-api.com/weaponskins/ac65b631-4bd1-b0fa-3313-0da74d4eba9d/displayicon.png,60bca009-4182-7998-dee7-b8a2558dc369,ar-AE
35beb433-425e-7072-7ac3-9ca95d1d1fd9,دوودل بَدز آريز,https://media.valorant-api.com/weaponskins/35beb433-425e-7072-7ac3-9ca95d1d1fd9/displayicon.png,60bca009-4182-7998-dee7-b8a2558dc369,ar-AE
e901bdeb-405f-d06c-0733-6783274d85b0,سينجيولاريتي آريز,https://media.valorant-api.com/weaponskins/e901bdeb-405f-d06c-0733-6783274d85b0/displayicon.png,e046854e-406c-37f4-6607-19a9ba8426fc,ar-AE
4e04647a-4cfc-64f8-4643-f6b7dbcb2943,راش آريز,https://media.valorant-api.com/weaponskins/4e04647a-4cfc-64f8-4643-f6b7dbcb2943/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
556646c0-46dd-6986-00df-a78d1c17f268,العقل الجمعي آريز,https://media.valorant-api.com/weaponskins/556646c0-46dd-6986-00df-a78d1c17f268/displayicon.png,0cebb8be-46d7-c12a-d306-e9907bfc5a25,ar-AE
04b1358c-4702-dd82-a135-368384b685dd,لهيب الغضب آريز,https://media.valorant-api.com/weaponskins/04b1358c-4702-dd82-a135-368384b685dd/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
b4803277-468a-f798-7120-718963b94d7a,ديجي هيكس آريز,https://media.valorant-api.com/weaponskins/b4803277-468a-f798-7120-718963b94d7a/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
e089be41-4242-b28d-1894-bbba193957a2,سلاح المشاة آريز,https://media.valorant-api.com/weaponskins/e089be41-4242-b28d-1894-bbba193957a2/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
9d2b497b-434d-07fc-ea0f-ee96de4bffa1,الجناح الذهبي آريز,https://media.valorant-api.com/weaponskins/9d2b497b-434d-07fc-ea0f-ee96de4bffa1/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
4308fe43-44c1-9fe8-d5f9-95be2bc70d51,الحامية آريز,https://media.valorant-api.com/weaponskins/4308fe43-44c1-9fe8-d5f9-95be2bc70d51/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
841c9aab-4005-f7fd-3b67-24b335100fb4,بريزم آريز,https://media.valorant-api.com/weaponskins/841c9aab-4005-f7fd-3b67-24b335100fb4/displayicon.png,0cebb8be-46d7-c12a-d306-e9907bfc5a25,ar-AE
2edbde3f-4ccc-9251-d92f-21bc9046b999,المائي آريز,https://media.valorant-api.com/weaponskins/2edbde3f-4ccc-9251-d92f-21bc9046b999/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
ff0a538f-4ee6-a3e7-f7a8-a0b5a76e027b,مونستروسيتي آريز,https://media.valorant-api.com/weaponskins/ff0a538f-4ee6-a3e7-f7a8-a0b5a76e027b/displayicon.png,12683d76-48d7-84a3-4e09-6985794f0445,ar-AE
